row,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,kmeans_cluster,hier_cluster,clarans_cluster
6377,30.0,105000,115000.0,90.0,36%-<43%,American Indian or Alaska Native,CashOut_Refinance,Principal_Residence,Denied,48.37,0,6,6
74897,77.0,595000,595000.0,100.0,50%-60%,White,Home_Purchase,Principal_Residence,Originated,73.91,4,2,0
52439,79.0,185000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,16.67,3,1,2
20884,95.0,45000,375000.0,78.353,Exempt,Race Not Available,Home_Purchase,Investment,Originated,92.41,1,5,3
31278,75.0,275000,315000.0,85.0,36%-<43%,Race Not Available,Home_Purchase,Principal_Residence,Denied,32.31,2,7,1
83505,221.0,135000,515000.0,79.805,43%-<50%,White,Refinance,Principal_Residence,Denied,18.19,6,4,4
49617,94.0,335000,345000.0,95.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,50.64,2,7,5
46651,107.0,315000,425000.0,75.0,43%-<50%,White,Home_Purchase,Investment,Preapproval_Approved_NotAccepted,0.0,1,5,3
86579,95.0,435000,545000.0,80.0,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,45.63,0,6,6
62341,49.0,125000,175000.0,76.52,36%-<43%,White,Home_Improvement,Principal_Residence,Approved_NotAccepted,15.91,6,4,4
46600,80.0,425000,755000.0,56.667,36%-<43%,White,CashOut_Refinance,Principal_Residence,Originated,8.23,0,6,6
78777,30.0,95000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Incomplete,28.0,3,1,2
31303,95.0,1725000,3265000.0,52.69,Unknown,Race Not Available,Refinance,Investment,Originated,48.98,1,5,3
4180,95.0,315000,395000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,30.25,2,7,1
0,95.0,515000,685000.0,75.0,Unknown,White,Home_Purchase,Investment,Originated,30.98,1,5,3
59522,80.0,75000,115000.0,78.353,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,74.25,3,1,2
23880,187.0,175000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Second_Residence,Incomplete,10.47,2,7,1
82939,181.0,375000,595000.0,62.104,20%-<30%,White,Refinance,Principal_Residence,Originated,27.21,0,6,6
84365,411.0,205000,845000.0,72.596,<20%,White,Other,Principal_Residence,Originated,25.17,5,4,4
59439,85.0,175000,215000.0,80.0,<20%,White,Home_Purchase,Principal_Residence,Originated,49.11,2,7,5
38452,110.0,325000,605000.0,54.583,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,22.36,0,6,6
51832,357.0,995000,1255000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,44.83,5,7,1
9616,53.0,135000,395000.0,35.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,10.95,0,6,1
47542,95.0,135000,375000.0,78.353,Exempt,White,Refinance,Principal_Residence,Originated,9.09,0,6,6
35458,95.0,335000,915000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Purchased,80.17,0,6,6
38209,72.0,365000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,82.33,0,6,6
53576,705.0,585000,955000.0,61.895,30%-<36%,American Indian or Alaska Native,CashOut_Refinance,Principal_Residence,Denied,21.24,5,3,6
1984,59.0,265000,445000.0,59.091,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,8.82,2,7,1
37661,114.0,15000,215000.0,80.0,<20%,White,Other,Principal_Residence,Originated,16.12,6,4,4
