kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,_approved,anomaly_votes,iso_score,tract_minority_population_percent
5,120.0,45000,225000.0,55.65,Unknown,White,Refinance,Principal_Residence,Originated,1.0,1,0.4922432189862028,11.47
0,303.0,575000,645000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.3997629837056022,13.53
2,95.0,105000,125000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Purchased,,0,0.3894326447413597,66.81
4,32.0,115000,135000.0,89.939,Unknown,White,Home_Purchase,Principal_Residence,Denied,0.0,2,0.57308214540209,0.0
6,48.0,135000,185000.0,96.499,50%-60%,Race Not Available,Home_Purchase,Principal_Residence,Denied,0.0,0,0.3732201802254515,32.14
3,104.0,225000,295000.0,74.25,43%-<50%,White,CashOut_Refinance,Principal_Residence,Denied,0.0,0,0.35481477815434637,17.19
0,298.0,1045000,375000.0,78.353,30%-<36%,Native Hawaiian or Other Pacific Islander,Home_Purchase,Principal_Residence,Denied,0.0,0,0.4683554687928262,86.49
3,67.0,155000,795000.0,18.963,36%-<43%,White,Refinance,Principal_Residence,Originated,1.0,0,0.5202131889616719,50.1
0,95.0,585000,645000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.38902206698023534,44.51
0,205.0,425000,535000.0,80.0,20%-<30%,Asian,Home_Purchase,Principal_Residence,Originated,1.0,0,0.370817305855914,34.68
1,315.0,705000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Second_Residence,Withdrawn,,0,0.46228532161949454,34.16
5,102.0,185000,395000.0,66.84,<20%,White,Home_Improvement,Principal_Residence,Denied,0.0,0,0.3875785877412919,57.38
0,109.0,215000,225000.0,95.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3878575479963851,8.26
0,86.0,135000,135000.0,101.01,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.39419549264808856,32.19
5,207.0,245000,815000.0,71.02,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.39407561431175925,20.14
0,105.0,155000,285000.0,53.0,<20%,Black or African American,Other,Principal_Residence,Originated,1.0,0,0.4090630830938274,84.97
0,62.0,195000,205000.0,102.91,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.4528457395485955,98.08
4,11.0,75000,85000.0,78.353,>60%,Black or African American,Home_Purchase,Principal_Residence,Denied,0.0,0,0.4394333660833033,72.4
0,131.0,425000,445000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.367980784182328,10.67
2,225.0,325000,435000.0,75.0,43%-<50%,White,CashOut_Refinance,Investment,Originated,1.0,0,0.36469523320001623,35.17
0,127.0,415000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,,0,0.3580209226602383,49.58
5,396.0,255000,1215000.0,69.83,20%-<30%,Race Not Available,Refinance,Principal_Residence,Originated,1.0,1,0.48294157357977496,32.53
0,88.0,315000,395000.0,80.0,36%-<43%,White,Other,Principal_Residence,Originated,1.0,0,0.3649668199166702,15.72
0,95.0,95000,195000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.3768128750553848,10.83
5,76.0,55000,325000.0,69.92,43%-<50%,White,Home_Improvement,Principal_Residence,Originated,1.0,0,0.35495340378824314,35.54
0,155.0,605000,615000.0,80.0,36%-<43%,Black or African American,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3957349336340552,60.22
4,84.0,285000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,,0,0.35891541586623843,10.58
5,99.0,45000,275000.0,78.31,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,1.0,0,0.3718803960809204,53.95
5,251.0,255000,955000.0,92.263,20%-<30%,Race Not Available,Home_Purchase,Principal_Residence,Originated,1.0,1,0.5381990231383439,76.55
0,93.0,415000,435000.0,95.0,43%-<50%,Asian,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3828175861114042,39.95
3,211.0,515000,375000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Withdrawn,,1,0.46588212601094336,21.5
0,118.0,495000,525000.0,95.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3675605374496352,17.61
6,76.0,205000,785000.0,75.6,>60%,White,Home_Purchase,Principal_Residence,Denied,0.0,0,0.3645643827104194,33.95
4,32.0,65000,55000.0,78.353,20%-<30%,Black or African American,Home_Purchase,Principal_Residence,Denied,0.0,0,0.41202073612035356,50.29
0,49.0,235000,245000.0,95.1,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3695132934559209,49.76
0,146.0,365000,365000.0,78.353,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3799137651619546,29.83
3,171.0,155000,295000.0,51.58,20%-<30%,White,Refinance,Principal_Residence,Originated,1.0,0,0.41088267904551584,49.64
