row,kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,clarans_cluster
83816,5,98.0,205000,555000.0,69.9,43%-<50%,Race Not Available,Other,Principal_Residence,Denied,44.2,4
88754,0,120.0,395000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,19.62,1
1673,6,143.0,835000,1025000.0,80.39,50%-60%,White,Home_Purchase,Principal_Residence,Originated,26.64,0
38979,6,106.0,205000,395000.0,51.88,50%-60%,White,Other,Principal_Residence,Originated,20.31,0
94837,6,28.0,105000,755000.0,22.06,>60%,White,Other,Principal_Residence,Denied,23.38,0
3045,0,51.0,165000,225000.0,72.727,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,31.64,1
83620,6,25.0,105000,325000.0,75.0,>60%,Asian,Home_Improvement,Principal_Residence,Denied,50.78,0
27909,0,95.0,425000,405000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,37.57,1
71645,0,49.0,175000,175000.0,96.5,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,8.08,1
31913,6,87.0,265000,275000.0,96.5,>60%,White,Home_Purchase,Principal_Residence,Denied,64.87,0
30652,3,155.0,275000,405000.0,67.69,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,24.39,6
